EPOCH=001,Accuracy= 54.810%
EPOCH=002,Accuracy= 66.100%
EPOCH=003,Accuracy= 71.740%
EPOCH=004,Accuracy= 76.450%
EPOCH=005,Accuracy= 78.430%
EPOCH=006,Accuracy= 77.720%
EPOCH=007,Accuracy= 83.110%
EPOCH=008,Accuracy= 75.700%
EPOCH=009,Accuracy= 78.840%
EPOCH=010,Accuracy= 84.330%
EPOCH=011,Accuracy= 83.350%
EPOCH=012,Accuracy= 84.310%
EPOCH=013,Accuracy= 87.520%
EPOCH=014,Accuracy= 84.430%
EPOCH=015,Accuracy= 85.610%
EPOCH=016,Accuracy= 83.240%
EPOCH=017,Accuracy= 84.240%
EPOCH=018,Accuracy= 87.480%
EPOCH=019,Accuracy= 82.350%
EPOCH=020,Accuracy= 87.530%
EPOCH=021,Accuracy= 85.970%
EPOCH=022,Accuracy= 87.270%
EPOCH=023,Accuracy= 87.120%
EPOCH=024,Accuracy= 88.920%
EPOCH=025,Accuracy= 85.210%
EPOCH=026,Accuracy= 88.790%
EPOCH=027,Accuracy= 89.060%
EPOCH=028,Accuracy= 87.600%
EPOCH=029,Accuracy= 88.590%
EPOCH=030,Accuracy= 88.010%
EPOCH=031,Accuracy= 89.080%
EPOCH=032,Accuracy= 88.880%
EPOCH=033,Accuracy= 86.820%
EPOCH=034,Accuracy= 90.000%
EPOCH=035,Accuracy= 89.770%
EPOCH=036,Accuracy= 89.450%
EPOCH=037,Accuracy= 89.560%
EPOCH=038,Accuracy= 88.580%
EPOCH=039,Accuracy= 88.450%
EPOCH=040,Accuracy= 90.260%
EPOCH=041,Accuracy= 89.760%
EPOCH=042,Accuracy= 89.690%
EPOCH=043,Accuracy= 89.580%
EPOCH=044,Accuracy= 90.010%
EPOCH=045,Accuracy= 89.790%
EPOCH=046,Accuracy= 89.700%
EPOCH=047,Accuracy= 90.190%
EPOCH=048,Accuracy= 90.970%
EPOCH=049,Accuracy= 90.890%
EPOCH=050,Accuracy= 90.230%
