001  00001 |Loss: 2.438 | Acc: 11.719% 
001  00002 |Loss: 2.405 | Acc: 12.109% 
001  00003 |Loss: 2.381 | Acc: 13.802% 
001  00004 |Loss: 2.374 | Acc: 13.281% 
001  00005 |Loss: 2.352 | Acc: 12.656% 
001  00006 |Loss: 2.329 | Acc: 12.630% 
001  00007 |Loss: 2.305 | Acc: 13.839% 
001  00008 |Loss: 2.276 | Acc: 15.527% 
001  00009 |Loss: 2.271 | Acc: 15.451% 
001  00010 |Loss: 2.234 | Acc: 16.797% 
001  00011 |Loss: 2.209 | Acc: 17.472% 
001  00012 |Loss: 2.196 | Acc: 17.904% 
001  00013 |Loss: 2.178 | Acc: 18.630% 
001  00014 |Loss: 2.178 | Acc: 18.694% 
001  00015 |Loss: 2.172 | Acc: 19.323% 
001  00016 |Loss: 2.167 | Acc: 19.580% 
001  00017 |Loss: 2.152 | Acc: 20.221% 
001  00018 |Loss: 2.144 | Acc: 20.269% 
001  00019 |Loss: 2.130 | Acc: 20.765% 
001  00020 |Loss: 2.116 | Acc: 21.016% 
001  00021 |Loss: 2.107 | Acc: 21.243% 
001  00022 |Loss: 2.096 | Acc: 21.911% 
001  00023 |Loss: 2.083 | Acc: 22.486% 
001  00024 |Loss: 2.070 | Acc: 23.079% 
001  00025 |Loss: 2.062 | Acc: 23.094% 
001  00026 |Loss: 2.050 | Acc: 23.438% 
001  00027 |Loss: 2.042 | Acc: 23.582% 
001  00028 |Loss: 2.031 | Acc: 23.968% 
001  00029 |Loss: 2.027 | Acc: 24.138% 
001  00030 |Loss: 2.016 | Acc: 24.479% 
001  00031 |Loss: 2.014 | Acc: 24.294% 
001  00032 |Loss: 2.007 | Acc: 24.487% 
001  00033 |Loss: 2.000 | Acc: 24.740% 
001  00034 |Loss: 1.995 | Acc: 25.046% 
001  00035 |Loss: 1.990 | Acc: 25.312% 
001  00036 |Loss: 1.986 | Acc: 25.499% 
001  00037 |Loss: 1.980 | Acc: 25.739% 
001  00038 |Loss: 1.983 | Acc: 25.802% 
001  00039 |Loss: 1.978 | Acc: 26.122% 
001  00040 |Loss: 1.974 | Acc: 26.211% 
001  00041 |Loss: 1.969 | Acc: 26.467% 
001  00042 |Loss: 1.965 | Acc: 26.618% 
001  00043 |Loss: 1.959 | Acc: 26.817% 
001  00044 |Loss: 1.954 | Acc: 26.829% 
001  00045 |Loss: 1.948 | Acc: 26.979% 
001  00046 |Loss: 1.944 | Acc: 27.106% 
001  00047 |Loss: 1.944 | Acc: 27.061% 
001  00048 |Loss: 1.939 | Acc: 27.214% 
001  00049 |Loss: 1.933 | Acc: 27.423% 
001  00050 |Loss: 1.929 | Acc: 27.656% 
001  00051 |Loss: 1.925 | Acc: 27.788% 
001  00052 |Loss: 1.923 | Acc: 27.975% 
001  00053 |Loss: 1.920 | Acc: 28.125% 
001  00054 |Loss: 1.914 | Acc: 28.342% 
001  00055 |Loss: 1.909 | Acc: 28.594% 
001  00056 |Loss: 1.907 | Acc: 28.739% 
001  00057 |Loss: 1.904 | Acc: 28.906% 
001  00058 |Loss: 1.900 | Acc: 29.122% 
001  00059 |Loss: 1.896 | Acc: 29.251% 
001  00060 |Loss: 1.894 | Acc: 29.232% 
001  00061 |Loss: 1.889 | Acc: 29.406% 
001  00062 |Loss: 1.884 | Acc: 29.574% 
001  00063 |Loss: 1.880 | Acc: 29.650% 
001  00064 |Loss: 1.878 | Acc: 29.749% 
001  00065 |Loss: 1.876 | Acc: 29.832% 
001  00066 |Loss: 1.873 | Acc: 30.007% 
001  00067 |Loss: 1.870 | Acc: 30.049% 
001  00068 |Loss: 1.866 | Acc: 30.090% 
001  00069 |Loss: 1.863 | Acc: 30.152% 
001  00070 |Loss: 1.859 | Acc: 30.301% 
001  00071 |Loss: 1.856 | Acc: 30.469% 
001  00072 |Loss: 1.851 | Acc: 30.621% 
001  00073 |Loss: 1.846 | Acc: 30.822% 
001  00074 |Loss: 1.843 | Acc: 30.954% 
001  00075 |Loss: 1.841 | Acc: 31.073% 
001  00076 |Loss: 1.837 | Acc: 31.260% 
